"","Days to Ship Actual","Sales Forecast","Ship Status","Days to Ship Scheduled","Category","City","Country","Customer Name","Discount","Number of Records","Order Date","Order ID","Postal Code","Product Name","Profit","Quantity","Region","Sales","Segment","Ship Date","Ship Mode","State","Sub-Category"
"1",3,"$392","Shipped On Time",3,"Furniture","Henderson","United States","Claire Gute","0.00%",1,2016-02-11,"CA-2016-152156",42420,"Bush Somerset Collection Bookcase","$42",2,"South","$262","Consumer","42685","Second Class","Kentucky","Bookcases"
"2",3,"$1,096","Shipped On Time",3,"Furniture","Henderson","United States","Claire Gute","0.00%",1,2016-02-11,"CA-2016-152156",42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","$220",3,"South","$732","Consumer","42685","Second Class","Kentucky","Chairs"
"3",4,"$22","Shipped Late",3,"Office Supplies","Los Angeles","United States","Darrin Van Huff","0.00%",1,2016-02-06,"CA-2016-138688",90036,"Self-Adhesive Address Labels for Typewriters by Universal","$7",2,"West","$15","Corporate","6/16/2016","Second Class","California","Labels"
"4",7,"$1,434","Shipped Late",6,"Furniture","Fort Lauderdale","United States","Sean O'Donnell","45.00%",1,2015-02-10,"US-2015-108966",33311,"Bretford CR4500 Series Slim Rectangular Table","-$383",5,"South","$958","Consumer","10/18/2015","Standard Class","Florida","Tables"
"5",7,"$33","Shipped Late",6,"Office Supplies","Fort Lauderdale","United States","Sean O'Donnell","20.00%",1,2015-02-10,"US-2015-108966",33311,"Eldon Fold 'N Roll Cart System","$3",2,"South","$22","Consumer","10/18/2015","Standard Class","Florida","Storage"
"6",5,"$73","Shipped Early",6,"Furniture","Los Angeles","United States","Brosina Hoffman","0.00%",1,2014-02-06,"CA-2014-115812",90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","$14",7,"West","$49","Consumer","6/14/2014","Standard Class","California","Furnishings"
"7",5,"$11","Shipped Early",6,"Office Supplies","Los Angeles","United States","Brosina Hoffman","0.00%",1,2014-02-06,"CA-2014-115812",90032,"Newell 322","$2",4,"West","$7","Consumer","6/14/2014","Standard Class","California","Art"
"8",5,"$1,359","Shipped Early",6,"Technology","Los Angeles","United States","Brosina Hoffman","20.00%",1,2014-02-06,"CA-2014-115812",90032,"Mitel 5320 IP Phone VoIP phone","$91",6,"West","$907","Consumer","6/14/2014","Standard Class","California","Phones"
"9",5,"$28","Shipped Early",6,"Office Supplies","Los Angeles","United States","Brosina Hoffman","20.00%",1,2014-02-06,"CA-2014-115812",90032,"DXL Angle-View Binders with Locking Rings by Samsill","$6",3,"West","$19","Consumer","6/14/2014","Standard Class","California","Binders"
"10",5,"$172","Shipped Early",6,"Office Supplies","Los Angeles","United States","Brosina Hoffman","0.00%",1,2014-02-06,"CA-2014-115812",90032,"Belkin F5C206VTEL 6 Outlet Surge","$34",5,"West","$115","Consumer","6/14/2014","Standard Class","California","Appliances"
"11",5,"$2,555","Shipped Early",6,"Furniture","Los Angeles","United States","Brosina Hoffman","20.00%",1,2014-02-06,"CA-2014-115812",90032,"Chromcraft Rectangular Conference Tables","$85",9,"West","$1,706","Consumer","6/14/2014","Standard Class","California","Tables"
"12",5,"$1,365","Shipped Early",6,"Technology","Los Angeles","United States","Brosina Hoffman","20.00%",1,2014-02-06,"CA-2014-115812",90032,"Konftel 250 Conference phone - Charcoal black","$68",4,"West","$911","Consumer","6/14/2014","Standard Class","California","Phones"
"13",5,"$23","Shipped Early",6,"Office Supplies","Concord","United States","Andrew Allen","20.00%",1,2017-02-04,"CA-2017-114412",28027,"Xerox 1967","$5",3,"South","$16","Consumer","4/20/2017","Standard Class","North Carolina","Paper"
"14",5,"$611","Shipped Early",6,"Office Supplies","Seattle","United States","Irene Maddox","20.00%",1,2016-02-12,"CA-2016-161389",98103,"Fellowes PB200 Plastic Comb Binding Machine","$133",3,"West","$408","Consumer","42655","Standard Class","Washington","Binders"
"15",4,"$103","Shipped Early",6,"Office Supplies","Fort Worth","United States","Harold Pawlan","80.00%",1,2015-02-11,"US-2015-118983",76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","-$124",5,"Central","$69","Home Office","11/26/2015","Standard Class","Texas","Appliances"
"16",4,"$4","Shipped Early",6,"Office Supplies","Fort Worth","United States","Harold Pawlan","80.00%",1,2015-02-11,"US-2015-118983",76106,"Storex DuraTech Recycled Plastic Frosted Binders","-$4",3,"Central","$3","Home Office","11/26/2015","Standard Class","Texas","Binders"
"17",7,"$997","Shipped Late",6,"Office Supplies","Madison","United States","Pete Kriz","0.00%",1,2014-02-11,"CA-2014-105893",53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","$13",6,"Central","$666","Consumer","11/18/2014","Standard Class","Wisconsin","Storage"
"18",2,"$83","Shipped Early",3,"Office Supplies","West Jordan","United States","Alejandro Grove","0.00%",1,2014-02-05,"CA-2014-167164",84084,"Fellowes Super Stor/Drawer","$10",2,"West","$56","Consumer","5/15/2014","Second Class","Utah","Storage"
"19",5,"$13","Shipped Late",3,"Office Supplies","San Francisco","United States","Zuschuss Donatelli","0.00%",1,2014-02-08,"CA-2014-143336",94109,"Newell 341","$2",2,"West","$9","Consumer","41648","Second Class","California","Art"
"20",5,"$320","Shipped Late",3,"Technology","San Francisco","United States","Zuschuss Donatelli","20.00%",1,2014-02-08,"CA-2014-143336",94109,"Cisco SPA 501G IP Phone","$16",3,"West","$213","Consumer","41648","Second Class","California","Phones"
"21",5,"$34","Shipped Late",3,"Office Supplies","San Francisco","United States","Zuschuss Donatelli","20.00%",1,2014-02-08,"CA-2014-143336",94109,"Wilson Jones Hanging View Binder, White, 1""","$7",4,"West","$23","Consumer","41648","Second Class","California","Binders"
"22",4,"$29","Shipped Early",6,"Office Supplies","Fremont","United States","Ken Black","0.00%",1,2016-02-12,"CA-2016-137330",68025,"Newell 318","$5",7,"Central","$19","Corporate","12/13/2016","Standard Class","Nebraska","Art"
"23",4,"$90","Shipped Early",6,"Office Supplies","Fremont","United States","Ken Black","0.00%",1,2016-02-12,"CA-2016-137330",68025,"Acco Six-Outlet Power Strip, 4' Cord Length","$16",7,"Central","$60","Corporate","12/13/2016","Standard Class","Nebraska","Appliances"
"24",2,"$107","Shipped Early",3,"Furniture","Philadelphia","United States","Sandra Flanagan","30.00%",1,2017-02-07,"US-2017-156909",19140,"Global Deluxe Stacking Chair, Gray","-$1",2,"East","$71","Consumer","7/18/2017","Second Class","Pennsylvania","Chairs"
"25",5,"$1,564","Shipped Early",6,"Furniture","Orem","United States","Emily Burns","0.00%",1,2015-02-09,"CA-2015-106320",84057,"Bretford CR4500 Series Slim Rectangular Table","$240",3,"West","$1,045","Consumer","9/30/2015","Standard Class","Utah","Tables"
"26",4,"$17","Shipped Late",3,"Office Supplies","Los Angeles","United States","Eric Hoffmann","20.00%",1,2016-02-01,"CA-2016-121755",90049,"Wilson Jones Active Use Binders","$4",2,"West","$12","Consumer","1/20/2016","Second Class","California","Binders"
"27",4,"$136","Shipped Late",3,"Technology","Los Angeles","United States","Eric Hoffmann","0.00%",1,2016-02-01,"CA-2016-121755",90049,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive","$12",3,"West","$91","Consumer","1/20/2016","Second Class","California","Accessories"
